Project,Category,type,wordcount,Path,File,topic,tutorial,pageNumber,language
Foundations,Docs-Topics,TS LF Trading Bot Warning - Order Status Not Sync With Exchange,148,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-LF-Trading-Bot-Warnings/ts-lf-trading-bot-warnings-015-ts-lf-trading-bot-warning-order-status-not-sync-with-exchange.json,ts-lf-trading-bot-warnings-015-ts-lf-trading-bot-warning-order-status-not-sync-with-exchange.json,TS LF Trading Bot Warnings,none,15,
Foundations,Docs-Topics,TS Trading Session Error - Invalid Initial Datetime Property Value,84,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Trading-Session-Errors/ts-trading-session-errors-002-ts-trading-session-error-invalid-initial-datetime-property-value.json,ts-trading-session-errors-002-ts-trading-session-error-invalid-initial-datetime-property-value.json,TS Trading Session Errors,none,2,
Foundations,Docs-Topics,TS Trading Session Error - Codename Property Missing,34,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Trading-Session-Errors/ts-trading-session-errors-012-ts-trading-session-error-codename-property-missing.json,ts-trading-session-errors-012-ts-trading-session-error-codename-property-missing.json,TS Trading Session Errors,none,12,
Foundations,Docs-Topics,TS Trading Session Error - Session Base Asset Node Missing,42,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Trading-Session-Errors/ts-trading-session-errors-007-ts-trading-session-error-session-base-asset-node-missing.json,ts-trading-session-errors-007-ts-trading-session-error-session-base-asset-node-missing.json,TS Trading Session Errors,none,7,
Foundations,Docs-Topics,TS Trading Session Error - Label Property Missing,39,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Trading-Session-Errors/ts-trading-session-errors-005-ts-trading-session-error-label-property-missing.json,ts-trading-session-errors-005-ts-trading-session-error-label-property-missing.json,TS Trading Session Errors,none,5,
Foundations,Docs-Topics,TS Trading Session Error - Key Reference Node Missing,80,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Trading-Session-Errors/ts-trading-session-errors-010-ts-trading-session-error-key-reference-node-missing.json,ts-trading-session-errors-010-ts-trading-session-error-key-reference-node-missing.json,TS Trading Session Errors,none,10,
Foundations,Docs-Topics,TS Trading Session Error - Invalid Label Property Value,242,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Trading-Session-Errors/ts-trading-session-errors-006-ts-trading-session-error-invalid-label-property-value.json,ts-trading-session-errors-006-ts-trading-session-error-invalid-label-property-value.json,TS Trading Session Errors,none,6,
Foundations,Docs-Topics,TS Trading Session Error - Secret Property Missing,36,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Trading-Session-Errors/ts-trading-session-errors-013-ts-trading-session-error-secret-property-missing.json,ts-trading-session-errors-013-ts-trading-session-error-secret-property-missing.json,TS Trading Session Errors,none,13,
Foundations,Docs-Topics,TS Trading Session Error - Exchange Account Key Node Missing,50,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Trading-Session-Errors/ts-trading-session-errors-011-ts-trading-session-error-exchange-account-key-node-missing.json,ts-trading-session-errors-011-ts-trading-session-error-exchange-account-key-node-missing.json,TS Trading Session Errors,none,11,
Foundations,Docs-Topics,TS Trading Session Error - Time Frame Node Missing,40,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Trading-Session-Errors/ts-trading-session-errors-004-ts-trading-session-error-time-frame-node-missing.json,ts-trading-session-errors-004-ts-trading-session-error-time-frame-node-missing.json,TS Trading Session Errors,none,4,
Foundations,Docs-Topics,TS Trading Session Error - Parameters Node Missing,44,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Trading-Session-Errors/ts-trading-session-errors-001-ts-trading-session-error-parameters-node-missing.json,ts-trading-session-errors-001-ts-trading-session-error-parameters-node-missing.json,TS Trading Session Errors,none,1,
Foundations,Docs-Topics,TS Trading Session Error - Session Quoted Asset Node Missing,42,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Trading-Session-Errors/ts-trading-session-errors-008-ts-trading-session-error-session-quoted-asset-node-missing.json,ts-trading-session-errors-008-ts-trading-session-error-session-quoted-asset-node-missing.json,TS Trading Session Errors,none,8,
Foundations,Docs-Topics,TS Trading Session Error - Initial Balance Property Missing,36,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Trading-Session-Errors/ts-trading-session-errors-009-ts-trading-session-error-initial-balance-property-missing.json,ts-trading-session-errors-009-ts-trading-session-error-initial-balance-property-missing.json,TS Trading Session Errors,none,9,
Foundations,Docs-Topics,TS Trading Session Error - Invalid Final Datetime Property Value,84,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Trading-Session-Errors/ts-trading-session-errors-003-ts-trading-session-error-invalid-final-datetime-property-value.json,ts-trading-session-errors-003-ts-trading-session-error-invalid-final-datetime-property-value.json,TS Trading Session Errors,none,3,
Foundations,Docs-Topics,TS Dataset Type Standard Converter Error - Only One Data Dependency Expected,195,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Dataset-Type-Standard-Converter-Error/ts-dataset-type-standard-converter-error-001-ts-dataset-type-standard-convertert-error-only-one-data-dependency-expected.json,ts-dataset-type-standard-converter-error-001-ts-dataset-type-standard-convertert-error-only-one-data-dependency-expected.json,TS Dataset Type Standard Converter Error,none,1,
Foundations,Docs-Topics,TS Dataset Type Standard Converter Error - Get Context Variables Failed,177,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Dataset-Type-Standard-Converter-Error/ts-dataset-type-standard-converter-error-004-ts-dataset-type-standard-convertert-error-get-context-variables-failed.json,ts-dataset-type-standard-converter-error-004-ts-dataset-type-standard-convertert-error-get-context-variables-failed.json,TS Dataset Type Standard Converter Error,none,4,
Foundations,Docs-Topics,TS Dataset Type Standard Converter Error - Status Report Is Corrupt,181,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Dataset-Type-Standard-Converter-Error/ts-dataset-type-standard-converter-error-003-ts-dataset-type-standard-convertert-error-status-report-is-corrupt.json,ts-dataset-type-standard-converter-error-003-ts-dataset-type-standard-convertert-error-status-report-is-corrupt.json,TS Dataset Type Standard Converter Error,none,3,
Foundations,Docs-Topics,TS Dataset Type Standard Converter Error - Only One Output Dataset Expected,195,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Dataset-Type-Standard-Converter-Error/ts-dataset-type-standard-converter-error-002-ts-dataset-type-standard-convertert-error-only-one-output-dataset-expected.json,ts-dataset-type-standard-converter-error-002-ts-dataset-type-standard-convertert-error-only-one-output-dataset-expected.json,TS Dataset Type Standard Converter Error,none,2,
Foundations,Docs-Topics,TS Process Error - Unexpected Error,170,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Process-Errors/ts-process-errors-001-ts-process-error-unexpected-error.json,ts-process-errors-001-ts-process-error-unexpected-error.json,TS Process Errors,none,1,
Foundations,Docs-Topics,TS Task Error - Unexpected Error,138,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-Task-Errors/ts-task-errors-001-ts-task-error-unexpected-error.json,ts-task-errors-001-ts-task-error-unexpected-error.json,TS Task Errors,none,1,
Foundations,Docs-Topics,TS LF Trading Bot Info - Order Skipped,61,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-LF-Trading-Bot-Infos/ts-lf-trading-bot-infos-002-ts-lf-trading-bot-info-order-skipped.json,ts-lf-trading-bot-infos-002-ts-lf-trading-bot-info-order-skipped.json,TS LF Trading Bot Infos,none,2,
Foundations,Docs-Topics,TS LF Trading Bot Info - Candle And Cycle,103,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-LF-Trading-Bot-Infos/ts-lf-trading-bot-infos-001-ts-lf-trading-bot-info-candle-and-cycle.json,ts-lf-trading-bot-infos-001-ts-lf-trading-bot-info-candle-and-cycle.json,TS LF Trading Bot Infos,none,1,
Foundations,Docs-Topics,TS LF Trading Bot Info - Order Closed,39,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-LF-Trading-Bot-Infos/ts-lf-trading-bot-infos-003-ts-lf-trading-bot-info-order-closed.json,ts-lf-trading-bot-infos-003-ts-lf-trading-bot-info-order-closed.json,TS LF Trading Bot Infos,none,3,
Foundations,Docs-Topics,TS LF Learning Bot Error - Formula Value Not A Number,147,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-LF-Learning-Bot-Errors/ts-lf-learning-bot-errors-003-ts-lf-learning-bot-error-formula-value-not-a-number.json,ts-lf-learning-bot-errors-003-ts-lf-learning-bot-error-formula-value-not-a-number.json,TS LF Learning Bot Errors,none,3,
Foundations,Docs-Topics,TS LF Learning Bot Error - Evaluating Formula Error,208,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-LF-Learning-Bot-Errors/ts-lf-learning-bot-errors-002-ts-lf-learning-bot-error-evaluating-formula-error.json,ts-lf-learning-bot-errors-002-ts-lf-learning-bot-error-evaluating-formula-error.json,TS LF Learning Bot Errors,none,2,
Foundations,Docs-Topics,TS LF Learning Bot Error - Evaluating Condition Error,212,Projects/Foundations/Schemas/Docs-Topics/T/TS/TS-LF-Learning-Bot-Errors/ts-lf-learning-bot-errors-001-ts-lf-learning-bot-error-evaluating-condition-error.json,ts-lf-learning-bot-errors-001-ts-lf-learning-bot-error-evaluating-condition-error.json,TS LF Learning Bot Errors,none,1,
Foundations,Docs-Topics,The Manage Stage,63,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Systems/trading-systems-007-the-manage-stage.json,trading-systems-007-the-manage-stage.json,Trading Systems,none,7,RU 
Foundations,Docs-Topics,Order Definitions,94,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Systems/trading-systems-006-order-definitions.json,trading-systems-006-order-definitions.json,Trading Systems,none,6,RU 
Foundations,Docs-Topics,Trading Strategies,32,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Systems/trading-systems-002-trading-strategies.json,trading-systems-002-trading-strategies.json,Trading Systems,none,2,RU 
Foundations,Docs-Topics,Trading System Hierarchy,20,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Systems/trading-systems-001-trading-system-hierarchy.json,trading-systems-001-trading-system-hierarchy.json,Trading Systems,none,1,DE RU 
Foundations,Docs-Topics,The Trigger Stage,67,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Systems/trading-systems-003-the-trigger-stage.json,trading-systems-003-the-trigger-stage.json,Trading Systems,none,3,DE 
Foundations,Docs-Topics,Position Management Phases,73,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Systems/trading-systems-008-position-management-phases.json,trading-systems-008-position-management-phases.json,Trading Systems,none,8,RU 
Foundations,Docs-Topics,The Close Stage,60,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Systems/trading-systems-009-the-close-stage.json,trading-systems-009-the-close-stage.json,Trading Systems,none,9,RU 
Foundations,Docs-Topics,Open Stage Initial Targets,89,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Systems/trading-systems-004-open-stage-initial-targets.json,trading-systems-004-open-stage-initial-targets.json,Trading Systems,none,4,RU 
Foundations,Docs-Topics,Open Stage Execution,74,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Systems/trading-systems-005-open-stage-execution.json,trading-systems-005-open-stage-execution.json,Trading Systems,none,5,RU 
Foundations,Docs-Topics,Trading Farms - Operating a Trading Farm,229,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Farms/trading-farms-003-trading-farms-operating-a-trading-farm.json,trading-farms-003-trading-farms-operating-a-trading-farm.json,Trading Farms,none,3,RU 
Foundations,Docs-Topics,Trading Farms - Fundamental Concepts,797,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Farms/trading-farms-001-trading-farms-fundamental-concepts.json,trading-farms-001-trading-farms-fundamental-concepts.json,Trading Farms,none,1,RU 
Foundations,Docs-Topics,Trading Farms - Set Up a Network of Nodes,1374,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Farms/trading-farms-002-trading-farms-set-up-a-network-of-nodes.json,trading-farms-002-trading-farms-set-up-a-network-of-nodes.json,Trading Farms,none,2,DE RU 
Foundations,Docs-Topics,Balances,156,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Engine/trading-engine-010-balances.json,trading-engine-010-balances.json,Trading Engine,none,10,RU 
Foundations,Docs-Topics,Identity and Status,112,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Engine/trading-engine-015-identity-and-status.json,trading-engine-015-identity-and-status.json,Trading Engine,none,15,RU 
Foundations,Docs-Topics,Base Asset and Quoted Asset,560,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Engine/trading-engine-006-base-asset-and-quoted-asset.json,trading-engine-006-base-asset-and-quoted-asset.json,Trading Engine,none,6,RU 
Foundations,Docs-Topics,Accounts Specific to the Open and Close Stages,49,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Engine/trading-engine-012-accounts-specific-to-the-open-and-close-stages.json,trading-engine-012-accounts-specific-to-the-open-and-close-stages.json,Trading Engine,none,12,
Foundations,Docs-Topics,Accounts Specific to Orders,49,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Engine/trading-engine-013-accounts-specific-to-orders.json,trading-engine-013-accounts-specific-to-orders.json,Trading Engine,none,13,RU 
Foundations,Docs-Topics,Market Data,37,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Engine/trading-engine-014-market-data.json,trading-engine-014-market-data.json,Trading Engine,none,14,
Foundations,Docs-Topics,"Conceptual Context - Episode, Strategy, Position, Strategy Stages",420,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Engine/trading-engine-005-conceptual-context-episode-strategy-position-strategy-stages.json,trading-engine-005-conceptual-context-episode-strategy-position-strategy-stages.json,Trading Engine,none,5,RU 
Foundations,Docs-Topics,"Common Metrics - Hits, Fails, Hit Ratio, Profit Loss, ROI, Annualized Rate of Return",61,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Engine/trading-engine-011-common-metrics-hits-fails-hit-ratio-profit-loss-roi-annualized-rate-of-return.json,trading-engine-011-common-metrics-hits-fails-hit-ratio-profit-loss-roi-annualized-rate-of-return.json,Trading Engine,none,11,RU 
Foundations,Docs-Topics,Temporal Context - Current and Last,198,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Engine/trading-engine-004-temporal-context-current-and-last.json,trading-engine-004-temporal-context-current-and-last.json,Trading Engine,none,4,RU 
Foundations,Docs-Topics,Monitoring Runtime Data,353,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Engine/trading-engine-002-monitoring-runtime-data.json,trading-engine-002-monitoring-runtime-data.json,Trading Engine,none,2,RU 
Foundations,Docs-Topics,Trading Bot Output,128,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Engine/trading-engine-003-trading-bot-output.json,trading-engine-003-trading-bot-output.json,Trading Engine,none,3,RU 
Foundations,Docs-Topics,Statistics,112,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Engine/trading-engine-008-statistics.json,trading-engine-008-statistics.json,Trading Engine,none,8,RU 
Foundations,Docs-Topics,Counters,186,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Engine/trading-engine-007-counters.json,trading-engine-007-counters.json,Trading Engine,none,7,RU 
Foundations,Docs-Topics,Distance-To-Trading-Events,58,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Engine/trading-engine-009-distance-to-trading-events.json,trading-engine-009-distance-to-trading-events.json,Trading Engine,none,9,RU 
Foundations,Docs-Topics,Trading Engine Hierarchy,53,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Engine/trading-engine-001-trading-engine-hierarchy.json,trading-engine-001-trading-engine-hierarchy.json,Trading Engine,none,1,RU 
Foundations,Docs-Topics,"Situations, Conditions, and Formulas",58,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Logic/trading-logic-001-situations-conditions-and-formulas.json,trading-logic-001-situations-conditions-and-formulas.json,Trading Logic,none,1,RU DE 
Foundations,Docs-Topics,Accessing Runtime Data,247,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Logic/trading-logic-003-accessing-runtime-data.json,trading-logic-003-accessing-runtime-data.json,Trading Logic,none,3,RU DE 
Foundations,Docs-Topics,Accessing Trading System Definitions and Session Parameters,187,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Logic/trading-logic-004-accessing-trading-system-definitions-and-session-parameters.json,trading-logic-004-accessing-trading-system-definitions-and-session-parameters.json,Trading Logic,none,4,RU 
Foundations,Docs-Topics,Syntax Overview,970,Projects/Foundations/Schemas/Docs-Topics/T/Trading/Trading-Logic/trading-logic-002-syntax-overview.json,trading-logic-002-syntax-overview.json,Trading Logic,none,2,RU DE 
Foundations,Docs-Topics,Browser Compatibility,117,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-016-browser-compatibility.json,troubleshooting-016-browser-compatibility.json,Troubleshooting,none,16,RU 
Foundations,Docs-Topics,Perception Issues - There Are No Candles on The Charts,745,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-007-perception-issues-there-are-no-candles-on-the-charts.json,troubleshooting-007-perception-issues-there-are-no-candles-on-the-charts.json,Troubleshooting,none,7,ES RU 
Foundations,Docs-Topics,How to Upgrade Your Existing Installation,549,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-003-how-to-upgrade-your-existing-installation.json,troubleshooting-003-how-to-upgrade-your-existing-installation.json,Troubleshooting,none,3,RU 
Foundations,Docs-Topics,How to Troubleshoot an Issue,1841,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-001-how-to-troubleshoot-an-issue.json,troubleshooting-001-how-to-troubleshoot-an-issue.json,Troubleshooting,none,1,RU 
Foundations,Docs-Topics,Debugging a New Indicator,160,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-015-debugging-a-new-indicator.json,troubleshooting-015-debugging-a-new-indicator.json,Troubleshooting,none,15,RU 
Foundations,Docs-Topics,Perception Issues - My System Gets Slow,549,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-006-perception-issues-my-system-gets-slow.json,troubleshooting-006-perception-issues-my-system-gets-slow.json,Troubleshooting,none,6,RU 
Foundations,Docs-Topics,Perception Issues - Indicator Data Seems Wrong,427,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-009-perception-issues-indicator-data-seems-wrong.json,troubleshooting-009-perception-issues-indicator-data-seems-wrong.json,Troubleshooting,none,9,RU 
Foundations,Docs-Topics,Debugging a Task,153,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-014-debugging-a-task.json,troubleshooting-014-debugging-a-task.json,Troubleshooting,none,14,RU 
Foundations,Docs-Topics,Investigating Issues - Check for Errors at the Browser,94,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-012-investigating-issues-check-for-errors-at-the-browser.json,troubleshooting-012-investigating-issues-check-for-errors-at-the-browser.json,Troubleshooting,none,12,RU 
Foundations,Docs-Topics,Investigating Issues - I Think I Broke Something... How Do I Start Over?,128,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-010-investigating-issues-i-think-i-broke-something.-how-do-i-start-over.json,troubleshooting-010-investigating-issues-i-think-i-broke-something.-how-do-i-start-over.json,Troubleshooting,none,10,RU 
Foundations,Docs-Topics,Problems With Computer Time,154,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-018-problems-with-computer-time.json,troubleshooting-018-problems-with-computer-time.json,Troubleshooting,none,18,RU 
Foundations,Docs-Topics,Investigating Issues - On-Screen Errors and Warnings,154,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-011-investigating-issues-on-screen-errors-and-warnings.json,troubleshooting-011-investigating-issues-on-screen-errors-and-warnings.json,Troubleshooting,none,11,RU 
Foundations,Docs-Topics,Investigating Issues - Check the Integrity of Your Data,324,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-013-investigating-issues-check-the-integrity-of-your-data.json,troubleshooting-013-investigating-issues-check-the-integrity-of-your-data.json,Troubleshooting,none,13,RU 
Foundations,Docs-Topics,Initial Setup - Node is not Recognized as an Internal or External Command,122,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-004-initial-setup-node-is-not-recognized-as-an-internal-or-external-command.json,troubleshooting-004-initial-setup-node-is-not-recognized-as-an-internal-or-external-command.json,Troubleshooting,none,4,RU 
Foundations,Docs-Topics,Problems Saving The Workspace or Plugins,1170,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-017-problems-saving-the-workspace-or-plugins.json,troubleshooting-017-problems-saving-the-workspace-or-plugins.json,Troubleshooting,none,17,RU 
Foundations,Docs-Topics,Perception Issues - Market Data or Indicators Seem to be Outdated,107,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-008-perception-issues-market-data-or-indicators-seem-to-be-outdated.json,troubleshooting-008-perception-issues-market-data-or-indicators-seem-to-be-outdated.json,Troubleshooting,none,8,RU 
Foundations,Docs-Topics,How to Report an Issue,1094,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-002-how-to-report-an-issue.json,troubleshooting-002-how-to-report-an-issue.json,Troubleshooting,none,2,RU 
Foundations,Docs-Topics,Initial Setup - Superalgos Failed to Connect Via Websockets,198,Projects/Foundations/Schemas/Docs-Topics/T/Troubleshooting/Troubleshooting/troubleshooting-005-initial-setup-superalgos-failed-to-connect-via-websockets.json,troubleshooting-005-initial-setup-superalgos-failed-to-connect-via-websockets.json,Troubleshooting,none,5,RU 
Foundations,Docs-Topics,Bollinger Channels - Bollinger Indicator,422,Projects/Foundations/Schemas/Docs-Topics/B/Bollinger/Bollinger-Data-Mine/bollinger-data-mine-003-bollinger-channels-bollinger-indicator.json,bollinger-data-mine-003-bollinger-channels-bollinger-indicator.json,Bollinger Data Mine,none,3,DE 
Foundations,Docs-Topics,Bollinger Bands (BB - %B) - Bollinger Indicator,466,Projects/Foundations/Schemas/Docs-Topics/B/Bollinger/Bollinger-Data-Mine/bollinger-data-mine-002-bollinger-bands-bb-b-bollinger-indicator.json,bollinger-data-mine-002-bollinger-bands-bb-b-bollinger-indicator.json,Bollinger Data Mine,none,2,DE 
Foundations,Docs-Topics,Bollinger by @luis_fernando_molina,21,Projects/Foundations/Schemas/Docs-Topics/B/Bollinger/Bollinger-Data-Mine/bollinger-data-mine-001-bollinger-by-@luis_fernando_molina.json,bollinger-data-mine-001-bollinger-by-@luis_fernando_molina.json,Bollinger Data Mine,none,1,DE 
Foundations,Docs-Topics,Switching Branches - Current Branch Not Changed,161,Projects/Foundations/Schemas/Docs-Topics/B/Branches/Branches-Management-Messages/branches-management-messages-004-switching-branches-current-branch-not-changed.json,branches-management-messages-004-switching-branches-current-branch-not-changed.json,Branches Management Messages,none,4,RU 
Foundations,Docs-Topics,Switching Branches - Current Branch Changed,132,Projects/Foundations/Schemas/Docs-Topics/B/Branches/Branches-Management-Messages/branches-management-messages-002-switching-branches-current-branch-changed.json,branches-management-messages-002-switching-branches-current-branch-changed.json,Branches Management Messages,none,2,RU 
Foundations,Docs-Topics,Switching Branches - Contributions Branch Changed,40,Projects/Foundations/Schemas/Docs-Topics/B/Branches/Branches-Management-Messages/branches-management-messages-003-switching-branches-contributions-branch-changed.json,branches-management-messages-003-switching-branches-contributions-branch-changed.json,Branches Management Messages,none,3,RU 
Foundations,Docs-Topics,Switching Branches - Changing Current Branch,30,Projects/Foundations/Schemas/Docs-Topics/B/Branches/Branches-Management-Messages/branches-management-messages-001-switching-branches-changing-current-branch.json,branches-management-messages-001-switching-branches-changing-current-branch.json,Branches Management Messages,none,1,
Foundations,Docs-Topics,Candle Patterns - Buddah Indicator,3235,Projects/Foundations/Schemas/Docs-Topics/B/Buddha/Buddha-Data-Mine/buddha-data-mine-001-candle-patterns-buddah-indicator.json,buddha-data-mine-001-candle-patterns-buddah-indicator.json,Buddha Data Mine,none,1,
Foundations,Docs-Topics,Introduction,88,Projects/Foundations/Schemas/Docs-Topics/R/Repository/Repository-Branches/repository-branches-001-introduction.json,repository-branches-001-introduction.json,Repository Branches,none,1,RU 
Foundations,Docs-Topics,Plugins-Docs,111,Projects/Foundations/Schemas/Docs-Topics/R/Repository/Repository-Branches/repository-branches-004-plugins-docs.json,repository-branches-004-plugins-docs.json,Repository Branches,none,4,DE RU 
Foundations,Docs-Topics,Develop,67,Projects/Foundations/Schemas/Docs-Topics/R/Repository/Repository-Branches/repository-branches-003-develop.json,repository-branches-003-develop.json,Repository Branches,none,3,RU 
Foundations,Docs-Topics,Master,63,Projects/Foundations/Schemas/Docs-Topics/R/Repository/Repository-Branches/repository-branches-002-master.json,repository-branches-002-master.json,Repository Branches,none,2,RU 
Foundations,Docs-Topics,Super Trend - Zeus Indicator,330,Projects/Foundations/Schemas/Docs-Topics/Z/Zeus/Zeus-Data-Mine/zeus-data-mine-006-super-trend-zeus-indicator.json,zeus-data-mine-006-super-trend-zeus-indicator.json,Zeus Data Mine,none,6,
Foundations,Docs-Topics,Donchian Channel - Zeus Indicator,256,Projects/Foundations/Schemas/Docs-Topics/Z/Zeus/Zeus-Data-Mine/zeus-data-mine-003-donchian-channel-zeus-indicator.json,zeus-data-mine-003-donchian-channel-zeus-indicator.json,Zeus Data Mine,none,3,
Foundations,Docs-Topics,Zeus By @9808us,46,Projects/Foundations/Schemas/Docs-Topics/Z/Zeus/Zeus-Data-Mine/zeus-data-mine-001-zeus-by-@9808us.json,zeus-data-mine-001-zeus-by-@9808us.json,Zeus Data Mine,none,1,DE 
Foundations,Docs-Topics,Directional Movement Index (DMI) - Zeus Indicator,267,Projects/Foundations/Schemas/Docs-Topics/Z/Zeus/Zeus-Data-Mine/zeus-data-mine-002-directional-movement-index-dmi-zeus-indicator.json,zeus-data-mine-002-directional-movement-index-dmi-zeus-indicator.json,Zeus Data Mine,none,2,
Foundations,Docs-Topics,Ichimoku Cloud - Zeus Indicator,329,Projects/Foundations/Schemas/Docs-Topics/Z/Zeus/Zeus-Data-Mine/zeus-data-mine-004-ichimoku-cloud-zeus-indicator.json,zeus-data-mine-004-ichimoku-cloud-zeus-indicator.json,Zeus Data Mine,none,4,
Foundations,Docs-Topics,Wave Trend - Zeus Indicator,278,Projects/Foundations/Schemas/Docs-Topics/Z/Zeus/Zeus-Data-Mine/zeus-data-mine-005-wave-trend-zeus-indicator.json,zeus-data-mine-005-wave-trend-zeus-indicator.json,Zeus Data Mine,none,5,
Foundations,Docs-Topics,Checking Exchange Events,773,Projects/Foundations/Schemas/Docs-Topics/O/Order/Order-Management/order-management-005-checking-exchange-events.json,order-management-005-checking-exchange-events.json,Order Management,none,5,RU 
Foundations,Docs-Topics,Overview of the Management Issue,299,Projects/Foundations/Schemas/Docs-Topics/O/Order/Order-Management/order-management-001-overview-of-the-management-issue.json,order-management-001-overview-of-the-management-issue.json,Order Management,none,1,RU 
Foundations,Docs-Topics,Simulating Check of Events,103,Projects/Foundations/Schemas/Docs-Topics/O/Order/Order-Management/order-management-009-simulating-check-of-events.json,order-management-009-simulating-check-of-events.json,Order Management,none,9,RU 
Foundations,Docs-Topics,Opening Orders,1009,Projects/Foundations/Schemas/Docs-Topics/O/Order/Order-Management/order-management-003-opening-orders.json,order-management-003-opening-orders.json,Order Management,none,3,RU 
